,Freq,Ia,Ib,Ic,PF,UpdateTime,Va,Vb,Vc,kPt,kQt,kSt,kVARh_Q1,kVARh_Q2,kVARh_Q3,kVARh_Q4,kVAh+,kVAh-,kWh+,kWh-,kWh_abs,kWh_net,θIA,θIB,θIC,θVA,θVB,θVC
0,60.0,2.4000000000000004,2.2,2.8000000000000003,0.7000000000000001,2022-09-21 00:00:08,6803.0,6674.0,6790.0,36.0,-34.0,52.0,248.0,0.0,0.0,227506.0,450590.0,4.0,338262.0,0.0,338264.0,338262.0,326.88,70.67,195.29,0.0,120.57000000000001,240.3
1,60.0,2.4000000000000004,2.4000000000000004,2.8000000000000003,0.72,2022-09-21 00:00:53,6803.0,6678.0,6790.0,38.0,-34.0,54.0,248.0,0.0,0.0,227506.0,450590.0,4.0,338264.0,0.0,338264.0,338262.0,325.17,71.25,197.87,0.0,120.65,240.38
2,60.0,2.4000000000000004,2.4000000000000004,2.8000000000000003,0.7000000000000001,2022-09-21 00:01:13,6792.0,6673.0,6779.0,36.0,-36.0,54.0,248.0,0.0,0.0,227508.0,450590.0,4.0,338264.0,0.0,338266.0,338262.0,323.97,69.64,196.6,0.0,120.65,240.38
3,60.0,2.6,2.4000000000000004,2.8000000000000003,0.7000000000000001,2022-09-21 00:01:58,6801.0,6661.0,6789.0,36.0,-36.0,52.0,248.0,0.0,0.0,227508.0,450592.0,4.0,338264.0,0.0,338266.0,338262.0,322.3,70.93,195.46,0.0,120.57000000000001,240.46
4,60.0,2.4000000000000004,2.4000000000000004,2.8000000000000003,0.7000000000000001,2022-09-21 00:03:01,6812.0,6682.0,6809.0,36.0,-36.0,52.0,248.0,0.0,0.0,227508.0,450592.0,4.0,338264.0,0.0,338266.0,338262.0,323.97,67.87,195.21,0.0,120.57000000000001,240.21
5,60.0,2.4000000000000004,2.4000000000000004,2.8000000000000003,0.68,2022-09-21 00:03:24,6797.0,6674.0,6790.0,36.0,-36.0,52.0,248.0,0.0,0.0,227508.0,450592.0,4.0,338264.0,0.0,338266.0,338264.0,322.69,67.96000000000001,195.46,0.0,120.65,240.46
6,59.900000000000006,2.4000000000000004,2.4000000000000004,2.8000000000000003,0.68,2022-09-21 00:04:09,6790.0,6667.0,6781.0,36.0,-36.0,52.0,248.0,0.0,0.0,227508.0,450592.0,4.0,338266.0,0.0,338266.0,338264.0,322.69,67.96000000000001,195.72,0.0,120.65,240.72
7,60.0,2.4000000000000004,2.4000000000000004,2.8000000000000003,0.67,2022-09-21 00:04:30,6789.0,6670.0,6780.0,34.0,-36.0,52.0,248.0,0.0,0.0,227510.0,450594.0,4.0,338266.0,0.0,338268.0,338264.0,322.69,67.87,194.28,0.0,120.57000000000001,240.55
8,60.0,2.4000000000000004,2.4000000000000004,3.0,0.72,2022-09-21 00:05:15,6791.0,6666.0,6781.0,38.0,-36.0,54.0,248.0,0.0,0.0,227510.0,450594.0,4.0,338266.0,0.0,338268.0,338264.0,324.68,70.93,195.13,0.0,120.57000000000001,240.13
9,60.1,2.4000000000000004,2.4000000000000004,3.0,0.72,2022-09-21 00:05:35,6810.0,6682.0,6797.0,38.0,-36.0,54.0,248.0,0.0,0.0,227510.0,450594.0,4.0,338266.0,0.0,338268.0,338264.0,326.3,70.85000000000001,195.04,0.0,120.48,240.13
10,60.0,2.4000000000000004,2.2,3.0,0.65,2022-09-21 00:06:21,6801.0,6661.0,6794.0,36.0,-36.0,54.0,248.0,0.0,0.0,227510.0,450594.0,4.0,338266.0,0.0,338268.0,338266.0,325.17,69.23,192.66,0.0,120.57000000000001,240.04
