,Freq,Ia,Ib,Ic,PF,UpdateTime,Va,Vb,Vc,kPt,kQt,kSt,kVARh_Q1,kVARh_Q2,kVARh_Q3,kVARh_Q4,kVAh+,kVAh-,kWh+,kWh-,kWh_abs,kWh_net,θIA,θIB,θIC,θVA,θVB,θVC
0,59.900000000000006,2.6,2.6,3.2,0.75,2022-09-18 00:00:04,6783.0,6654.0,6775.0,42.0,-34.0,58.0,248.0,0.0,0.0,225038.0,444634.0,4.0,333092.0,0.0,333094.0,333090.0,330.75,71.55,202.3,0.0,120.74000000000001,240.72
1,60.0,2.6,2.6,3.2,0.75,2022-09-18 00:01:09,6788.0,6660.0,6777.0,42.0,-36.0,58.0,248.0,0.0,0.0,225040.0,444634.0,4.0,333094.0,0.0,333094.0,333092.0,329.03000000000003,71.55,201.96,0.0,120.74000000000001,240.38
2,60.0,2.6,2.6,3.2,0.74,2022-09-18 00:01:34,6798.0,6672.0,6790.0,42.0,-36.0,58.0,248.0,0.0,0.0,225040.0,444634.0,4.0,333094.0,0.0,333094.0,333092.0,330.01,71.3,199.69,0.0,120.48,240.3
3,60.0,2.6,2.4000000000000004,3.2,0.73,2022-09-18 00:02:19,6792.0,6670.0,6786.0,40.0,-36.0,56.0,248.0,0.0,0.0,225040.0,444636.0,4.0,333094.0,0.0,333096.0,333092.0,330.01,70.93,196.42000000000002,0.0,120.65,240.3
4,60.0,2.6,2.4000000000000004,3.2,0.71,2022-09-18 00:02:35,6796.0,6669.0,6785.0,40.0,-36.0,56.0,248.0,0.0,0.0,225040.0,444636.0,4.0,333094.0,0.0,333096.0,333092.0,329.03000000000003,67.87,195.29,0.0,120.57000000000001,240.3
5,60.0,2.4000000000000004,2.4000000000000004,3.2,0.72,2022-09-18 00:03:20,6789.0,6668.0,6782.0,40.0,-36.0,56.0,248.0,0.0,0.0,225040.0,444636.0,4.0,333094.0,0.0,333096.0,333092.0,330.75,66.68,197.5,0.0,120.65,240.3
6,60.0,2.4000000000000004,2.4000000000000004,3.2,0.71,2022-09-18 00:03:41,6783.0,6662.0,6778.0,40.0,-36.0,56.0,248.0,0.0,0.0,225040.0,444636.0,4.0,333094.0,0.0,333096.0,333094.0,329.03000000000003,67.96000000000001,197.5,0.0,120.65,240.3
7,60.0,2.4000000000000004,2.4000000000000004,3.2,0.71,2022-09-18 00:04:26,6794.0,6668.0,6788.0,40.0,-36.0,56.0,248.0,0.0,0.0,225042.0,444638.0,4.0,333096.0,0.0,333096.0,333094.0,330.75,67.87,196.33,0.0,120.57000000000001,240.21
8,60.0,2.4000000000000004,2.4000000000000004,3.2,0.71,2022-09-18 00:04:46,6801.0,6676.0,6798.0,40.0,-36.0,56.0,248.0,0.0,0.0,225042.0,444638.0,4.0,333096.0,0.0,333098.0,333094.0,329.03000000000003,67.96000000000001,197.67000000000002,0.0,120.65,240.38
9,60.0,2.6,2.4000000000000004,3.2,0.74,2022-09-18 00:05:31,6785.0,6657.0,6781.0,42.0,-34.0,56.0,248.0,0.0,0.0,225042.0,444638.0,4.0,333096.0,0.0,333098.0,333094.0,330.01,72.64,198.75,0.0,120.65,240.38
10,59.900000000000006,2.6,2.4000000000000004,3.2,0.73,2022-09-18 00:05:52,6791.0,6663.0,6781.0,42.0,-36.0,56.0,248.0,0.0,0.0,225042.0,444638.0,4.0,333096.0,0.0,333098.0,333094.0,330.01,72.55,197.67000000000002,0.0,120.57000000000001,240.46
11,60.0,2.6,2.4000000000000004,3.2,0.72,2022-09-18 00:06:37,6797.0,6675.0,6792.0,42.0,-36.0,58.0,248.0,0.0,0.0,225042.0,444640.0,4.0,333096.0,0.0,333098.0,333096.0,328.39,71.17,197.41,0.0,120.48,240.21
12,60.0,2.6,2.4000000000000004,3.2,0.73,2022-09-18 00:06:57,6807.0,6681.0,6800.0,42.0,-36.0,58.0,248.0,0.0,0.0,225042.0,444640.0,4.0,333098.0,0.0,333098.0,333096.0,330.01,71.08,197.5,0.0,120.48,240.3
13,60.0,2.6,2.8000000000000003,3.2,0.77,2022-09-18 00:07:43,6795.0,6670.0,6791.0,46.0,-36.0,60.0,248.0,0.0,0.0,225044.0,444640.0,4.0,333098.0,0.0,333100.0,333096.0,330.94,74.15,202.73000000000002,0.0,120.48,240.38
