,Freq,Ia,Ib,Ic,PF,UpdateTime,Va,Vb,Vc,kPt,kQt,kSt,kVARh_Q1,kVARh_Q2,kVARh_Q3,kVARh_Q4,kVAh+,kVAh-,kWh+,kWh-,kWh_abs,kWh_net,θIA,θIB,θIC,θVA,θVB,θVC
0,60.1,2.4000000000000004,2.2,2.8000000000000003,0.68,2022-09-24 00:00:36,6794.0,6675.0,6796.0,34.0,-34.0,50.0,248.0,0.0,0.0,229958.0,456740.0,4.0,343652.0,0.0,343654.0,343650.0,323.97,68.77,192.52,0.0,120.48,240.13
1,60.1,2.4000000000000004,2.2,2.8000000000000003,0.68,2022-09-24 00:00:57,6798.0,6677.0,6797.0,34.0,-34.0,50.0,248.0,0.0,0.0,229958.0,456740.0,4.0,343652.0,0.0,343654.0,343650.0,322.3,70.58,190.97,0.0,120.48,239.96
2,59.900000000000006,2.4000000000000004,2.2,2.8000000000000003,0.7000000000000001,2022-09-24 00:01:42,6787.0,6666.0,6791.0,36.0,-34.0,50.0,248.0,0.0,0.0,229958.0,456742.0,4.0,343652.0,0.0,343654.0,343650.0,323.53000000000003,72.2,192.78,0.0,120.57000000000001,240.38
3,60.0,2.4000000000000004,2.2,2.8000000000000003,0.67,2022-09-24 00:02:02,6815.0,6706.0,6820.0,34.0,-34.0,52.0,248.0,0.0,0.0,229958.0,456742.0,4.0,343652.0,0.0,343654.0,343652.0,323.53000000000003,73.93,191.47,0.0,120.57000000000001,240.46
4,60.0,2.4000000000000004,2.2,2.8000000000000003,0.6900000000000001,2022-09-24 00:02:47,6820.0,6709.0,6822.0,36.0,-34.0,50.0,248.0,0.0,0.0,229958.0,456742.0,4.0,343654.0,0.0,343654.0,343652.0,325.17,72.2,191.57,0.0,120.57000000000001,240.38
5,59.900000000000006,2.4000000000000004,2.2,2.8000000000000003,0.6900000000000001,2022-09-24 00:03:08,6813.0,6695.0,6814.0,36.0,-36.0,50.0,248.0,0.0,0.0,229960.0,456742.0,4.0,343654.0,0.0,343654.0,343652.0,323.53000000000003,70.75,191.73000000000002,0.0,120.65,240.55
6,59.900000000000006,2.4000000000000004,2.2,2.8000000000000003,0.68,2022-09-24 00:03:53,6817.0,6699.0,6817.0,36.0,-34.0,52.0,248.0,0.0,0.0,229960.0,456744.0,4.0,343654.0,0.0,343656.0,343652.0,323.53000000000003,72.28,193.11,0.0,120.65,240.72
7,60.0,2.4000000000000004,2.2,2.8000000000000003,0.67,2022-09-24 00:04:13,6824.0,6701.0,6821.0,34.0,-34.0,50.0,248.0,0.0,0.0,229960.0,456744.0,4.0,343654.0,0.0,343656.0,343652.0,322.3,70.75,190.1,0.0,120.65,240.46
8,60.0,2.4000000000000004,2.2,2.8000000000000003,0.66,2022-09-24 00:04:58,6791.0,6660.0,6789.0,34.0,-36.0,52.0,248.0,0.0,0.0,229960.0,456744.0,4.0,343654.0,0.0,343656.0,343652.0,322.3,68.86,191.48000000000002,0.0,120.57000000000001,240.3
9,59.900000000000006,2.4000000000000004,2.2,2.8000000000000003,0.66,2022-09-24 00:05:19,6793.0,6671.0,6789.0,34.0,-36.0,50.0,248.0,0.0,0.0,229960.0,456744.0,4.0,343654.0,0.0,343656.0,343654.0,322.3,68.94,190.35,0.0,120.65,240.55
