,Freq,Ia,Ib,Ic,PF,UpdateTime,Va,Vb,Vc,kPt,kQt,kSt,kVARh_Q1,kVARh_Q2,kVARh_Q3,kVARh_Q4,kVAh+,kVAh-,kWh+,kWh-,kWh_abs,kWh_net,θIA,θIB,θIC,θVA,θVB,θVC
0,60.0,4.92,4.68,4.8,0.92,2022-09-21 00:00:00,6769.0,6673.0,6866.0,90.0,34.8,97.2,118870.79999999999,0.0,0.0,0.0,312084.0,0.0,265873.2,0.0,265873.2,265873.2,23.52,141.65,259.04,0.0,120.23,240.8
1,60.0,4.8,4.56,4.8,0.91,2022-09-21 00:00:47,6764.0,6665.0,6855.0,87.6,37.199999999999996,96.0,118870.79999999999,0.0,0.0,0.0,312085.2,0.0,265874.39999999997,0.0,265874.39999999997,265874.39999999997,25.7,143.16,261.71,0.0,120.23,240.72
2,60.0,4.92,4.56,4.92,0.92,2022-09-21 00:01:05,6758.0,6661.0,6850.0,90.0,36.0,97.2,118872.0,0.0,0.0,0.0,312085.2,0.0,265874.39999999997,0.0,265874.39999999997,265874.39999999997,25.46,142.45000000000002,260.12,0.0,120.15,240.72
3,59.900000000000006,4.68,4.32,4.8,0.92,2022-09-21 00:01:53,6746.0,6660.0,6850.0,87.6,34.8,94.8,118872.0,0.0,0.0,0.0,312086.39999999997,0.0,265875.6,0.0,265875.6,265875.6,25.7,142.12,259.38,0.0,120.31,241.14000000000001
4,60.0,4.56,4.32,4.68,0.92,2022-09-21 00:02:11,6751.0,6660.0,6852.0,86.39999999999999,34.8,92.39999999999999,118872.0,0.0,0.0,0.0,312087.6,0.0,265876.8,0.0,265876.8,265876.8,25.68,141.28,259.35,0.0,120.15,240.72
5,60.0,4.32,4.08,4.68,0.92,2022-09-21 00:02:58,6751.0,6663.0,6848.0,84.0,33.6,91.2,118873.2,0.0,0.0,0.0,312088.8,0.0,265878.0,0.0,265878.0,265878.0,26.26,141.13,259.85,0.0,120.15,240.8
6,60.0,4.08,3.96,4.56,0.91,2022-09-21 00:03:16,6767.0,6667.0,6853.0,79.2,33.6,86.39999999999999,118873.2,0.0,0.0,0.0,312088.8,0.0,265878.0,0.0,265878.0,265878.0,28.2,140.34,263.05,0.0,120.23,240.89000000000001
7,59.900000000000006,3.48,3.5999999999999996,3.84,0.92,2022-09-21 00:04:04,6754.0,6657.0,6844.0,69.6,26.4,75.6,118873.2,0.0,0.0,0.0,312090.0,0.0,265879.2,0.0,265879.2,265879.2,23.87,138.3,263.23,0.0,120.31,241.05
8,59.900000000000006,3.7199999999999998,3.7199999999999998,4.08,0.92,2022-09-21 00:04:22,6772.0,6671.0,6854.0,70.8,26.4,76.8,118873.2,0.0,0.0,0.0,312090.0,0.0,265879.2,0.0,265879.2,265879.2,23.19,138.22,261.17,0.0,120.31,241.05
9,60.0,3.7199999999999998,3.7199999999999998,3.84,0.9400000000000001,2022-09-21 00:05:09,6763.0,6665.0,6855.0,73.2,25.2,79.2,118873.2,0.0,0.0,0.0,312091.2,0.0,265880.39999999997,0.0,265880.39999999997,265880.39999999997,22.240000000000002,137.0,258.69,0.0,120.15,240.72
10,60.0,3.48,3.7199999999999998,3.96,0.92,2022-09-21 00:05:27,6762.0,6666.0,6857.0,70.8,25.2,75.6,118874.4,0.0,0.0,0.0,312092.39999999997,0.0,265880.39999999997,0.0,265880.39999999997,265880.39999999997,21.96,137.0,261.72,0.0,120.15,240.63
11,60.0,3.5999999999999996,3.84,3.96,0.9400000000000001,2022-09-21 00:06:16,6751.0,6669.0,6859.0,72.0,25.2,76.8,118874.4,0.0,0.0,0.0,312092.39999999997,0.0,265881.6,0.0,265881.6,265881.6,21.64,136.45,260.57,0.0,120.06,240.72
12,60.0,3.5999999999999996,3.84,3.96,0.9400000000000001,2022-09-21 00:06:33,6752.0,6661.0,6853.0,73.2,25.2,78.0,118874.4,0.0,0.0,0.0,312093.6,0.0,265881.6,0.0,265881.6,265881.6,21.64,135.67000000000002,261.19,0.0,120.06,240.63
13,60.0,3.12,3.5999999999999996,3.84,0.92,2022-09-21 00:07:21,6763.0,6668.0,6859.0,66.0,25.2,70.8,118874.4,0.0,0.0,0.0,312094.8,0.0,265882.8,0.0,265882.8,265882.8,23.86,133.97,265.96,0.0,120.15,240.8
14,60.0,3.2399999999999998,3.5999999999999996,3.96,0.92,2022-09-21 00:07:38,6768.0,6673.0,6863.0,68.39999999999999,25.2,74.39999999999999,118874.4,0.0,0.0,0.0,312094.8,0.0,265882.8,0.0,265882.8,265882.8,24.51,133.8,262.07,0.0,119.98,240.55
15,60.0,3.36,3.84,4.08,0.93,2022-09-21 00:08:26,6795.0,6702.0,6892.0,72.0,25.2,76.8,118875.59999999999,0.0,0.0,0.0,312096.0,0.0,265884.0,0.0,265884.0,265884.0,21.8,133.9,262.38,0.0,120.06,240.72
16,60.0,3.36,3.84,4.08,0.9400000000000001,2022-09-21 00:08:44,6799.0,6704.0,6893.0,72.0,25.2,76.8,118875.59999999999,0.0,0.0,0.0,312096.0,0.0,265884.0,0.0,265884.0,265884.0,21.8,133.02,262.97,0.0,120.15,240.63
17,60.0,3.5999999999999996,3.84,4.32,0.9400000000000001,2022-09-21 00:09:31,6793.0,6700.0,6889.0,76.8,25.2,81.6,118875.59999999999,0.0,0.0,0.0,312097.2,0.0,265885.2,0.0,265885.2,265885.2,21.5,134.18,260.38,0.0,120.15,240.63
18,60.0,3.96,4.4399999999999995,4.32,0.9500000000000001,2022-09-21 00:09:49,6795.0,6700.0,6890.0,81.6,25.2,86.39999999999999,118875.59999999999,0.0,0.0,0.0,312097.2,0.0,265886.39999999997,0.0,265886.39999999997,265886.39999999997,16.990000000000002,135.03,259.81,0.0,120.15,240.72
19,60.0,3.48,3.7199999999999998,3.84,0.9400000000000001,2022-09-21 00:10:37,6780.0,6700.0,6890.0,70.8,24.0,75.6,118875.59999999999,0.0,0.0,0.0,312098.39999999997,0.0,265886.39999999997,0.0,265886.39999999997,265886.39999999997,19.240000000000002,137.22,261.64,0.0,120.06,240.72
