,Freq,Ia,Ib,Ic,PF,UpdateTime,Va,Vb,Vc,kPt,kQt,kSt,kVARh_Q1,kVARh_Q2,kVARh_Q3,kVARh_Q4,kVAh+,kVAh-,kWh+,kWh-,kWh_abs,kWh_net,θIA,θIB,θIC,θVA,θVB,θVC
0,59.900000000000006,3.2399999999999998,3.96,3.84,0.93,2022-09-19 00:00:56,6783.0,6691.0,6872.0,66.0,22.8,70.8,118054.79999999999,0.0,0.0,0.0,309680.39999999997,0.0,263636.39999999997,0.0,263636.39999999997,263636.39999999997,19.650000000000002,135.22,264.7,0.0,120.57000000000001,241.39000000000001
1,59.900000000000006,3.12,3.48,3.7199999999999998,0.93,2022-09-19 00:01:16,6784.0,6694.0,6878.0,68.39999999999999,24.0,73.2,118054.79999999999,0.0,0.0,0.0,309681.6,0.0,263636.39999999997,0.0,263636.39999999997,263636.39999999997,21.63,134.84,263.17,0.0,120.4,241.22
2,60.0,2.76,3.5999999999999996,3.7199999999999998,0.93,2022-09-19 00:02:04,6799.0,6696.0,6869.0,62.4,22.8,68.39999999999999,118056.0,0.0,0.0,0.0,309681.6,0.0,263637.6,0.0,263637.6,263637.6,22.2,132.74,267.17,0.0,120.4,240.97
3,59.900000000000006,2.88,3.5999999999999996,3.7199999999999998,0.93,2022-09-19 00:02:22,6788.0,6690.0,6876.0,64.8,22.8,68.39999999999999,118056.0,0.0,0.0,0.0,309682.8,0.0,263637.6,0.0,263637.6,263637.6,22.38,133.39000000000001,266.25,0.0,120.4,241.14000000000001
4,60.0,3.0,3.5999999999999996,3.7199999999999998,0.9400000000000001,2022-09-19 00:03:09,6782.0,6698.0,6880.0,68.39999999999999,24.0,72.0,118056.0,0.0,0.0,0.0,309682.8,0.0,263638.8,0.0,263638.8,263638.8,21.8,133.94,263.98,0.0,120.31,240.89000000000001
5,60.0,2.88,3.36,3.48,0.92,2022-09-19 00:03:27,6790.0,6702.0,6888.0,62.4,22.8,67.2,118056.0,0.0,0.0,0.0,309684.0,0.0,263638.8,0.0,263638.8,263638.8,21.990000000000002,134.53,264.16,0.0,120.06,240.63
6,59.900000000000006,2.76,3.36,3.48,0.92,2022-09-19 00:04:15,6776.0,6687.0,6875.0,61.199999999999996,22.8,66.0,118056.0,0.0,0.0,0.0,309684.0,0.0,263640.0,0.0,263640.0,263640.0,21.8,134.78,266.85,0.0,120.31,241.05
7,60.0,2.76,3.36,3.48,0.92,2022-09-19 00:04:33,6784.0,6692.0,6880.0,61.199999999999996,22.8,66.0,118056.0,0.0,0.0,0.0,309685.2,0.0,263640.0,0.0,263640.0,263640.0,22.2,134.62,266.51,0.0,120.15,240.72
8,60.0,3.0,3.2399999999999998,3.2399999999999998,0.93,2022-09-19 00:05:23,6787.0,6686.0,6872.0,61.199999999999996,22.8,64.8,118057.2,0.0,0.0,0.0,309686.39999999997,0.0,263641.2,0.0,263641.2,263641.2,22.16,138.37,262.01,0.0,120.23,240.72
9,59.900000000000006,3.0,3.2399999999999998,3.2399999999999998,0.92,2022-09-19 00:05:38,6781.0,6680.0,6867.0,61.199999999999996,22.8,64.8,118057.2,0.0,0.0,0.0,309686.39999999997,0.0,263641.2,0.0,263641.2,263641.2,22.16,138.75,263.19,0.0,120.31,240.97
10,60.0,2.88,3.7199999999999998,3.5999999999999996,0.93,2022-09-19 00:06:26,6797.0,6701.0,6884.0,66.0,21.599999999999998,70.8,118057.2,0.0,0.0,0.0,309687.6,0.0,263641.2,0.0,263641.2,263641.2,18.75,132.49,265.01,0.0,120.23,240.63
11,60.0,3.12,3.84,3.5999999999999996,0.93,2022-09-19 00:06:44,6777.0,6681.0,6866.0,66.0,21.599999999999998,72.0,118057.2,0.0,0.0,0.0,309687.6,0.0,263642.39999999997,0.0,263642.39999999997,263642.39999999997,16.22,134.15,265.95,0.0,120.31,240.89000000000001
12,60.0,2.88,3.5999999999999996,3.5999999999999996,0.9400000000000001,2022-09-19 00:07:31,6774.0,6692.0,6877.0,66.0,21.599999999999998,69.6,118057.2,0.0,0.0,0.0,309688.8,0.0,263642.39999999997,0.0,263642.39999999997,263642.39999999997,17.47,132.93,265.86,0.0,120.31,241.14000000000001
